대분류,기준품목,세부품목,대표검색어,별칭·검색변형,산지명여부,산지,주출하시작월,주출하종료월,제철표시,소싱확인권장월,상품등록권장월,시즌유형,판매우선도,시즌근거수준,DB구분,출처·메모
과일,감,감풍단감,감풍단감,,N,,9,12,9~12월,7,8,단기,4,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,감,갑주백목,갑주백목,,N,,9,12,9~12월,7,8,단기,4,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,감,건시곶감,건시곶감,,N,,9,12,9~12월,7,8,단기,4,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,감,고종시감,고종시감,,N,,9,12,9~12월,7,8,단기,4,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,감,단감,단감,,N,,9,12,9~12월,7,8,단기,4,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,감,대봉감,대봉감,,N,,9,12,9~12월,7,8,단기,4,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,감,둥시감,둥시감,,N,,9,12,9~12월,7,8,단기,4,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,감,로망단감,로망단감,,N,,9,12,9~12월,7,8,단기,4,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,감,반건시곶감,반건시곶감,,N,,9,12,9~12월,7,8,단기,4,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,감,반시감,반시감,,N,,9,12,9~12월,7,8,단기,4,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,감,부유단감,부유단감,,N,,9,12,9~12월,7,8,단기,4,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,감,산청곶감,산청곶감,"곶감, 산청곶감",Y,산청,9,12,9~12월,7,8,단기,4,기준품목,제철판매확장,제철판매 보강
과일,감,상서조생단감,상서조생단감,,N,,9,12,9~12월,7,8,단기,4,기준품목,기본DB,https://www.nongsaro.go.kr / https://www.data.go.kr/data/3060745/openapi.do
과일,감,상주곶감,상주곶감,"곶감, 상주곶감",Y,상주,9,12,9~12월,7,8,단기,4,기준품목,제철판매확장,제철판매 보강
